dataformat_pdf_section,field_idx_raw_34,row_raw_34,section_raw_34,subsection_raw_34,field_raw_34,field_idx_raw_35,row_raw_35,section_raw_35,subsection_raw_35,field_raw_35,field_id_rawx,section_rawx,field_rawx,inch_section,inch_field,Inch_change,notes
1.24 FACTS Device Data,8,1,FACTS DEVICE DATA,FACTS DEVICE DATA,SHMX,8,1,FACTS DEVICE DATA,FACTS DEVICE DATA,SHMX,8,facts,shmx,N/A,N/A,N/A,Maximum shunt current at the sending end bus; entered in MVA at unity voltage
1.24 FACTS Device Data,9,1,FACTS DEVICE DATA,FACTS DEVICE DATA,TRMX,9,1,FACTS DEVICE DATA,FACTS DEVICE DATA,TRMX,9,facts,trmx,N/A,N/A,N/A,Maximum bridge active power transfer; entered in MW
1.24 FACTS Device Data,10,1,FACTS DEVICE DATA,FACTS DEVICE DATA,VTMN,10,1,FACTS DEVICE DATA,FACTS DEVICE DATA,VTMN,10,facts,vtmn,N/A,N/A,N/A,Minimum voltage at the terminal end bus; entered in pu.
1.24 FACTS Device Data,11,1,FACTS DEVICE DATA,FACTS DEVICE DATA,VTMX,11,1,FACTS DEVICE DATA,FACTS DEVICE DATA,VTMX,11,facts,vtmx,N/A,N/A,N/A,Maximum voltage at the terminal end bus; entered in pu.
1.24 FACTS Device Data,12,1,FACTS DEVICE DATA,FACTS DEVICE DATA,VSMX,12,1,FACTS DEVICE DATA,FACTS DEVICE DATA,VSMX,12,facts,vsmx,N/A,N/A,N/A,Maximum series voltage; entered in pu
1.24 FACTS Device Data,13,1,FACTS DEVICE DATA,FACTS DEVICE DATA,IMX,13,1,FACTS DEVICE DATA,FACTS DEVICE DATA,IMX,13,facts,imx,N/A,N/A,N/A,"Maximum series current, or zero for no series current limit; entered in MVA at unity voltage"
1.24 FACTS Device Data,14,1,FACTS DEVICE DATA,FACTS DEVICE DATA,LINX,14,1,FACTS DEVICE DATA,FACTS DEVICE DATA,LINX,14,facts,linx,N/A,N/A,N/A,Reactance of the dummy series element used during power flow solutions; entered in pu
1.24 FACTS Device Data,15,1,FACTS DEVICE DATA,FACTS DEVICE DATA,RMPCT,15,1,FACTS DEVICE DATA,FACTS DEVICE DATA,RMPCT,15,facts,rmpct,N/A,N/A,N/A,Percent of the total Mvar required to hold the voltage at the bus controlled by the shunt element
1.24 FACTS Device Data,16,1,FACTS DEVICE DATA,FACTS DEVICE DATA,OWNER,16,1,FACTS DEVICE DATA,FACTS DEVICE DATA,OWNER,16,facts,owner,N/A,N/A,N/A,Owner number
1.24 FACTS Device Data,17,1,FACTS DEVICE DATA,FACTS DEVICE DATA,SET1,17,1,FACTS DEVICE DATA,FACTS DEVICE DATA,SET1,17,facts,set1,N/A,N/A,N/A,
1.24 FACTS Device Data,18,1,FACTS DEVICE DATA,FACTS DEVICE DATA,SET2,18,1,FACTS DEVICE DATA,FACTS DEVICE DATA,SET2,18,facts,set2,N/A,N/A,N/A,
1.24 FACTS Device Data,19,1,FACTS DEVICE DATA,FACTS DEVICE DATA,VSREF,19,1,FACTS DEVICE DATA,FACTS DEVICE DATA,VSREF,19,facts,vsref,N/A,N/A,N/A,"Series voltage reference code to indicate the series voltage reference of SET1 and SET2 when MODE is 4, 7 or 8"
1.24 FACTS Device Data,20,1,FACTS DEVICE DATA,FACTS DEVICE DATA,FCREG,20,1,FACTS DEVICE DATA,FACTS DEVICE DATA,FCREG,20,facts,fcreg,N/A,N/A,N/A,Bus number
1.24 FACTS Device Data,22,1,FACTS DEVICE DATA,FACTS DEVICE DATA,NREG,21,1,FACTS DEVICE DATA,FACTS DEVICE DATA,NREG,21,facts,nreg,N/A,N/A,N/A,A node number of bus FCREG
1.24 FACTS Device Data,21,1,FACTS DEVICE DATA,FACTS DEVICE DATA,MNAME,22,1,FACTS DEVICE DATA,FACTS DEVICE DATA,MNAME,22,facts,mname,N/A,N/A,N/A,The name of the FACTS device that is the IPFC master device when this FACTS device is the slave device of an IPFC
1.25 Switched Shunt Data,1,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,I,1,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,I,1,swshunt,ibus,DATA_SWSHUNT,BusNum,N/A,Bus number
1.25 Switched Shunt Data,N/A,1,N/A,N/A,N/A,2,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,ID,2,swshunt,shntid,DATA_SWSHUNT,ShuntID,N/A,One- or two-character uppercase non-blank alphanumeric switched shunt identifier
1.25 Switched Shunt Data,2,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,MODSW,3,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,MODSW,3,swshunt,modsw,DATA_SWSHUNT,Mode,N/A,Control mode
1.25 Switched Shunt Data,3,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,ADJM,4,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,ADJM,4,swshunt,adjm,DATA_SWSHUNT,BlockOrder,N/A,Adjustment method
1.25 Switched Shunt Data,4,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,STATUS,5,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,STAT,5,swshunt,stat,DATA_SWSHUNT,Status,N/A,Initial status for entire switched shunt.
1.25 Switched Shunt Data,5,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,VSWHI,6,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,VSWHI,6,swshunt,vswhi,DATA_SWSHUNT,VMAX,N/A,
1.25 Switched Shunt Data,6,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,VSWLO,7,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,VSWLO,7,swshunt,vswlo,DATA_SWSHUNT,VMIN,N/A,
1.25 Switched Shunt Data,7,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,SWREG,8,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,SWREG,8,swshunt,swreg,DATA_SWSHUNT,CtlBs#,N/A,Bus number of the bus for which voltage or connected equipment reactive power output is controlled by this switched shunt
1.25 Switched Shunt Data,27,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,NREG,9,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,NREG,9,swshunt,nreg,DATA_SWSHUNT,N/A,N/A,A node number of bus SWREG
1.25 Switched Shunt Data,8,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,RMPCT,10,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,RMPCT,10,swshunt,rmpct,DATA_SWSHUNT,RemPcnt,N/A,Percent of the total Mvar required to hold the voltage at the bus controlled by bus I
1.25 Switched Shunt Data,9,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,RMIDNT,11,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,RMIDNT,11,swshunt,rmidnt,DATA_SWSHUNT,N/A,N/A,
1.25 Switched Shunt Data,10,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,BINIT,12,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,BINIT,12,swshunt,binit,DATA_SWSHUNT,BShuntCur,N/A,Initial switched shunt admittance; entered in Mvar at unity voltage
1.25 Switched Shunt Data,N/A,1,N/A,N/A,N/A,13,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,S1,13,swshunt,s1,DATA_SWSHUNT,BankStatus1,N/A,Initial switched shunt status of one for in-service and zero for out-of-service for block i
1.25 Switched Shunt Data,11,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N1,14,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N1,14,swshunt,n1,DATA_SWSHUNT,NBank1,N/A,Number of steps for block i. The first zero value of Ni or Bi is interpreted as the end of the switched shunt blocks for bus I.
1.25 Switched Shunt Data,12,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B1,15,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B1,15,swshunt,b1,DATA_SWSHUNT,BankSize1,N/A,Admittance increment for each of Ni steps in block i; entered in Mvar at unity voltage.
1.25 Switched Shunt Data,N/A,1,N/A,N/A,N/A,16,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,S2,16,swshunt,s2,DATA_SWSHUNT,BankStatus2,N/A,Initial switched shunt status of one for in-service and zero for out-of-service for block i
1.25 Switched Shunt Data,13,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N2,17,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N2,17,swshunt,n2,DATA_SWSHUNT,NBank2,N/A,Number of steps for block i. The first zero value of Ni or Bi is interpreted as the end of the switched shunt blocks for bus I.
1.25 Switched Shunt Data,14,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B2,18,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B2,18,swshunt,b2,DATA_SWSHUNT,BankSize2,N/A,Admittance increment for each of Ni steps in block i; entered in Mvar at unity voltage.
1.25 Switched Shunt Data,N/A,1,N/A,N/A,N/A,19,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,S3,19,swshunt,s3,DATA_SWSHUNT,BankStatus3,N/A,Initial switched shunt status of one for in-service and zero for out-of-service for block i
1.25 Switched Shunt Data,15,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N3,20,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N3,20,swshunt,n3,DATA_SWSHUNT,NBank3,N/A,Number of steps for block i. The first zero value of Ni or Bi is interpreted as the end of the switched shunt blocks for bus I.
1.25 Switched Shunt Data,16,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B3,21,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B3,21,swshunt,b3,DATA_SWSHUNT,BankSize3,N/A,Admittance increment for each of Ni steps in block i; entered in Mvar at unity voltage.
1.25 Switched Shunt Data,N/A,1,N/A,N/A,N/A,22,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,S4,22,swshunt,s4,DATA_SWSHUNT,BankStatus4,N/A,Initial switched shunt status of one for in-service and zero for out-of-service for block i
1.25 Switched Shunt Data,17,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N4,23,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N4,23,swshunt,n4,DATA_SWSHUNT,NBank4,N/A,Number of steps for block i. The first zero value of Ni or Bi is interpreted as the end of the switched shunt blocks for bus I.
1.25 Switched Shunt Data,18,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B4,24,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B4,24,swshunt,b4,DATA_SWSHUNT,BankSize4,N/A,Admittance increment for each of Ni steps in block i; entered in Mvar at unity voltage.
1.25 Switched Shunt Data,N/A,1,N/A,N/A,N/A,25,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,S5,25,swshunt,s5,DATA_SWSHUNT,BankStatus5,N/A,Initial switched shunt status of one for in-service and zero for out-of-service for block i
1.25 Switched Shunt Data,19,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N5,26,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N5,26,swshunt,n5,DATA_SWSHUNT,NBank5,N/A,Number of steps for block i. The first zero value of Ni or Bi is interpreted as the end of the switched shunt blocks for bus I.
1.25 Switched Shunt Data,20,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B5,27,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B5,27,swshunt,b5,DATA_SWSHUNT,BankSize5,N/A,Admittance increment for each of Ni steps in block i; entered in Mvar at unity voltage.
1.25 Switched Shunt Data,N/A,1,N/A,N/A,N/A,28,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,S6,28,swshunt,s6,DATA_SWSHUNT,BankStatus6,N/A,Initial switched shunt status of one for in-service and zero for out-of-service for block i
1.25 Switched Shunt Data,21,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N6,29,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N6,29,swshunt,n6,DATA_SWSHUNT,NBank6,N/A,Number of steps for block i. The first zero value of Ni or Bi is interpreted as the end of the switched shunt blocks for bus I.
1.25 Switched Shunt Data,22,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B6,30,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B6,30,swshunt,b6,DATA_SWSHUNT,BankSize6,N/A,Admittance increment for each of Ni steps in block i; entered in Mvar at unity voltage.
1.25 Switched Shunt Data,N/A,1,N/A,N/A,N/A,31,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,S7,31,swshunt,s7,DATA_SWSHUNT,BankStatus7,N/A,Initial switched shunt status of one for in-service and zero for out-of-service for block i
1.25 Switched Shunt Data,23,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N7,32,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N7,32,swshunt,n7,DATA_SWSHUNT,NBank7,N/A,Number of steps for block i. The first zero value of Ni or Bi is interpreted as the end of the switched shunt blocks for bus I.
1.25 Switched Shunt Data,24,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B7,33,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B7,33,swshunt,b7,DATA_SWSHUNT,BankSize7,N/A,Admittance increment for each of Ni steps in block i; entered in Mvar at unity voltage.
1.25 Switched Shunt Data,N/A,1,N/A,N/A,N/A,34,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,S8,34,swshunt,s8,DATA_SWSHUNT,BankStatus8,N/A,Initial switched shunt status of one for in-service and zero for out-of-service for block i
1.25 Switched Shunt Data,25,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N8,35,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N8,35,swshunt,n8,DATA_SWSHUNT,NBank8,N/A,Number of steps for block i. The first zero value of Ni or Bi is interpreted as the end of the switched shunt blocks for bus I.
1.25 Switched Shunt Data,26,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B8,36,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B8,36,swshunt,b8,DATA_SWSHUNT,BankSize8,N/A,Admittance increment for each of Ni steps in block i; entered in Mvar at unity voltage.
1.26 GNE Device Data,1,1,GNE DATA,GNE DATA,NAME,1,1,GNE DATA,GNE DATA,NAME,1,gne,name,N/A,N/A,N/A,The non-blank alphanumeric identifier assigned to this GNE device
1.26 GNE Device Data,2,1,GNE DATA,GNE DATA,MODEL,2,1,GNE DATA,GNE DATA,MODEL,2,gne,model,N/A,N/A,N/A,The name of the BOSL model
1.26 GNE Device Data,3,1,GNE DATA,GNE DATA,NTERM,3,1,GNE DATA,GNE DATA,NTERM,3,gne,nterm,N/A,N/A,N/A,The number of buses to which this instance of the model is connected
1.26 GNE Device Data,4,1,GNE DATA,GNE DATA,BUS1,4,1,GNE DATA,GNE DATA,BUS1,4,gne,bus1,N/A,N/A,N/A,Bus number
1.26 GNE Device Data,5,1,GNE DATA,GNE DATA,BUSNTERM,5,1,GNE DATA,GNE DATA,BUSNTERM,5,gne,bus2,N/A,N/A,N/A,Bus number
1.26 GNE Device Data,6,1,GNE DATA,GNE DATA,NREAL,6,1,GNE DATA,GNE DATA,NREAL,6,gne,nreal,N/A,N/A,N/A,Number of floating point data items required by model MODEL
1.26 GNE Device Data,7,1,GNE DATA,GNE DATA,NINTG,7,1,GNE DATA,GNE DATA,NINTG,7,gne,nintg,N/A,N/A,N/A,Number of buses required in calculating the inputs required by model MODEL
1.26 GNE Device Data,8,1,GNE DATA,GNE DATA,NCHAR,8,1,GNE DATA,GNE DATA,NCHAR,8,gne,nchar,N/A,N/A,N/A,Number of two-character identifiers required in calculating the inputs required by model MODEL
1.26 GNE Device Data,9,2,GNE DATA,GNE DATA,STATUS,9,2,GNE DATA,GNE DATA,STATUS,9,gne,stat,N/A,N/A,N/A,Device status of one for in-service and zero for out-of-service
1.26 GNE Device Data,10,2,GNE DATA,GNE DATA,OWNER,10,2,GNE DATA,GNE DATA,OWNER,10,gne,owner,N/A,N/A,N/A,Owner to which the device is assigned
1.26 GNE Device Data,11,2,GNE DATA,GNE DATA,NMETR,11,2,GNE DATA,GNE DATA,NMETR,11,gne,nmet,N/A,N/A,N/A,Bus number of the non-metered end bus
1.26 GNE Device Data,12,3,GNE DATA,GNE DATA,REAL1,12,3,GNE DATA,GNE DATA,REAL1,12,gne,real1,N/A,N/A,N/A,NREAL floating point data items required by model MODEL
1.26 GNE Device Data,13,3,GNE DATA,GNE DATA,REAL2,13,3,GNE DATA,GNE DATA,REAL2,13,gne,real2,N/A,N/A,N/A,NREAL floating point data items required by model MODEL
1.26 GNE Device Data,14,3,GNE DATA,GNE DATA,REAL3,14,3,GNE DATA,GNE DATA,REAL3,14,gne,real3,N/A,N/A,N/A,NREAL floating point data items required by model MODEL
1.26 GNE Device Data,15,3,GNE DATA,GNE DATA,REAL4,15,3,GNE DATA,GNE DATA,REAL4,15,gne,real4,N/A,N/A,N/A,NREAL floating point data items required by model MODEL
1.26 GNE Device Data,16,3,GNE DATA,GNE DATA,REAL5,16,3,GNE DATA,GNE DATA,REAL5,16,gne,real5,N/A,N/A,N/A,NREAL floating point data items required by model MODEL
1.26 GNE Device Data,17,3,GNE DATA,GNE DATA,REAL6,17,3,GNE DATA,GNE DATA,REAL6,17,gne,real6,N/A,N/A,N/A,NREAL floating point data items required by model MODEL
1.26 GNE Device Data,18,3,GNE DATA,GNE DATA,REAL7,18,3,GNE DATA,GNE DATA,REAL7,18,gne,real7,N/A,N/A,N/A,NREAL floating point data items required by model MODEL
1.26 GNE Device Data,19,3,GNE DATA,GNE DATA,REAL8,19,3,GNE DATA,GNE DATA,REAL8,19,gne,real8,N/A,N/A,N/A,NREAL floating point data items required by model MODEL
1.26 GNE Device Data,20,3,GNE DATA,GNE DATA,REAL9,20,3,GNE DATA,GNE DATA,REAL9,20,gne,real9,N/A,N/A,N/A,NREAL floating point data items required by model MODEL
1.26 GNE Device Data,21,3,GNE DATA,GNE DATA,REAL10,21,3,GNE DATA,GNE DATA,REAL10,21,gne,real10,N/A,N/A,N/A,NREAL floating point data items required by model MODEL
1.26 GNE Device Data,22,4,GNE DATA,GNE DATA,INTG1,22,4,GNE DATA,GNE DATA,INTG1,22,gne,intg1,N/A,N/A,N/A,NINTG bus numbers or extended bus names required by model MODEL
1.26 GNE Device Data,23,4,GNE DATA,GNE DATA,INTG2,23,4,GNE DATA,GNE DATA,INTG2,23,gne,intg2,N/A,N/A,N/A,NINTG bus numbers or extended bus names required by model MODEL
1.26 GNE Device Data,24,4,GNE DATA,GNE DATA,INTG3,24,4,GNE DATA,GNE DATA,INTG3,24,gne,intg3,N/A,N/A,N/A,NINTG bus numbers or extended bus names required by model MODEL
1.26 GNE Device Data,25,4,GNE DATA,GNE DATA,INTG4,25,4,GNE DATA,GNE DATA,INTG4,25,gne,intg4,N/A,N/A,N/A,NINTG bus numbers or extended bus names required by model MODEL
1.26 GNE Device Data,26,4,GNE DATA,GNE DATA,INTG5,26,4,GNE DATA,GNE DATA,INTG5,26,gne,intg5,N/A,N/A,N/A,NINTG bus numbers or extended bus names required by model MODEL
1.26 GNE Device Data,27,4,GNE DATA,GNE DATA,INTG6,27,4,GNE DATA,GNE DATA,INTG6,27,gne,intg6,N/A,N/A,N/A,NINTG bus numbers or extended bus names required by model MODEL
1.26 GNE Device Data,28,4,GNE DATA,GNE DATA,INTG7,28,4,GNE DATA,GNE DATA,INTG7,28,gne,intg7,N/A,N/A,N/A,NINTG bus numbers or extended bus names required by model MODEL
1.26 GNE Device Data,29,4,GNE DATA,GNE DATA,INTG8,29,4,GNE DATA,GNE DATA,INTG8,29,gne,intg8,N/A,N/A,N/A,NINTG bus numbers or extended bus names required by model MODEL
1.26 GNE Device Data,30,4,GNE DATA,GNE DATA,INTG9,30,4,GNE DATA,GNE DATA,INTG9,30,gne,intg9,N/A,N/A,N/A,NINTG bus numbers or extended bus names required by model MODEL
1.26 GNE Device Data,31,4,GNE DATA,GNE DATA,INTG10,31,4,GNE DATA,GNE DATA,INTG10,31,gne,intg10,N/A,N/A,N/A,NINTG bus numbers or extended bus names required by model MODEL
1.26 GNE Device Data,32,5,GNE DATA,GNE DATA,CHAR1,32,5,GNE DATA,GNE DATA,CHAR1,32,gne,char1,N/A,N/A,N/A,NCHAR two-character identifiers required by model MODEL
1.26 GNE Device Data,33,5,GNE DATA,GNE DATA,CHAR2,33,5,GNE DATA,GNE DATA,CHAR2,33,gne,char2,N/A,N/A,N/A,NCHAR two-character identifiers required by model MODEL
1.26 GNE Device Data,34,5,GNE DATA,GNE DATA,CHAR3,34,5,GNE DATA,GNE DATA,CHAR3,34,gne,char3,N/A,N/A,N/A,NCHAR two-character identifiers required by model MODEL
1.26 GNE Device Data,35,5,GNE DATA,GNE DATA,CHAR4,35,5,GNE DATA,GNE DATA,CHAR4,35,gne,char4,N/A,N/A,N/A,NCHAR two-character identifiers required by model MODEL
1.26 GNE Device Data,36,5,GNE DATA,GNE DATA,CHAR5,36,5,GNE DATA,GNE DATA,CHAR5,36,gne,char5,N/A,N/A,N/A,NCHAR two-character identifiers required by model MODEL
1.26 GNE Device Data,37,5,GNE DATA,GNE DATA,CHAR6,37,5,GNE DATA,GNE DATA,CHAR6,37,gne,char6,N/A,N/A,N/A,NCHAR two-character identifiers required by model MODEL
1.26 GNE Device Data,38,5,GNE DATA,GNE DATA,CHAR7,38,5,GNE DATA,GNE DATA,CHAR7,38,gne,char7,N/A,N/A,N/A,NCHAR two-character identifiers required by model MODEL
1.26 GNE Device Data,39,5,GNE DATA,GNE DATA,CHAR8,39,5,GNE DATA,GNE DATA,CHAR8,39,gne,char8,N/A,N/A,N/A,NCHAR two-character identifiers required by model MODEL
1.26 GNE Device Data,40,5,GNE DATA,GNE DATA,CHAR9,40,5,GNE DATA,GNE DATA,CHAR9,40,gne,char9,N/A,N/A,N/A,NCHAR two-character identifiers required by model MODEL
1.26 GNE Device Data,41,5,GNE DATA,GNE DATA,CHAR10,41,5,GNE DATA,GNE DATA,CHAR10,41,gne,char10,N/A,N/A,N/A,NCHAR two-character identifiers required by model MODEL
1.27 Induction Machine Data,1,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,I,1,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,I,1,indmach,ibus,N/A,N/A,N/A,Bus number
1.27 Induction Machine Data,2,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,ID,2,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,ID,2,indmach,imid,N/A,N/A,N/A,Alphanumeric machine identifier used to distinguish among multiple induction machines at bus I.
1.27 Induction Machine Data,3,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,STATUS,3,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,STATUS,3,indmach,stat,N/A,N/A,N/A,Machine status of 1 for in-service and 0 for out-of-service
1.27 Induction Machine Data,4,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,SCODE,4,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,SCODE,4,indmach,sc,N/A,N/A,N/A,Machine standard code
1.27 Induction Machine Data,5,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,DCODE,5,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,DCODE,5,indmach,dc,N/A,N/A,N/A,Machine design code
1.27 Induction Machine Data,6,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,AREA,6,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,AREA,6,indmach,area,N/A,N/A,N/A,Area to which the induction machine is assigned
1.27 Induction Machine Data,7,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,ZONE,7,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,ZONE,7,indmach,zone,N/A,N/A,N/A,Zone to which the induction machine is assigned
1.27 Induction Machine Data,8,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,OWNER,8,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,OWNER,8,indmach,owner,N/A,N/A,N/A,Owner to which the induction machine is assigned
1.27 Induction Machine Data,9,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,TCODE,9,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,TCODE,9,indmach,tc,N/A,N/A,N/A,Type of mechanical load torque variation
1.27 Induction Machine Data,10,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,BCODE,10,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,BCODE,10,indmach,bc,N/A,N/A,N/A,Machine base power code
1.27 Induction Machine Data,11,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,MBASE,11,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,MBASE,11,indmach,mbase,N/A,N/A,N/A,Machine base power; entered in MW or MVA
1.27 Induction Machine Data,12,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,RATEKV,12,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,RATEKV,12,indmach,ratekv,N/A,N/A,N/A,Machine rated voltage; entered in kV line-to-line
1.27 Induction Machine Data,13,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,PCODE,13,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,PCODE,13,indmach,pcode,N/A,N/A,N/A,Scheduled power code
1.27 Induction Machine Data,14,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,PSET,14,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,PSET,14,indmach,pset,N/A,N/A,N/A,Scheduled active power for a terminal voltage at the machine of 1.0 pu of the machine rated voltage; entered in MW
1.27 Induction Machine Data,15,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,H,15,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,H,15,indmach,hconst,N/A,N/A,N/A,Machine inertia; entered in per unit on MBASE base
1.27 Induction Machine Data,16,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,A,16,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,A,16,indmach,aconst,N/A,N/A,N/A,Constant that describes the variation of the torque of the mechanical load with speed
1.27 Induction Machine Data,17,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,B,17,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,B,17,indmach,bconst,N/A,N/A,N/A,Constant that describes the variation of the torque of the mechanical load with speed
1.27 Induction Machine Data,18,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,D,18,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,D,18,indmach,dconst,N/A,N/A,N/A,Constant that describes the variation of the torque of the mechanical load with speed
1.27 Induction Machine Data,19,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,E,19,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,E,19,indmach,econst,N/A,N/A,N/A,Constant that describes the variation of the torque of the mechanical load with speed
1.27 Induction Machine Data,20,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,RA,20,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,RA,20,indmach,ra,N/A,N/A,N/A,Armature resistance
1.27 Induction Machine Data,21,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,XA,21,1,INDUCTION MACHINE DATA,INDUCTION MACHINE DATA,XA,21,indmach,xa,N/A,N/A,N/A,Armature leakage reactance
